Latitude,Longitude
22.31279,73.170283
19.131141,72.813074
19.879631,75.323403
18.520016,73.830547
21.170798,72.790489
22.760072,75.892574
22.761226,75.887522
23.354422,85.3329
22.722634,75.886959
22.526461,88.364453
23.371292,85.327872
13.029198,77.570997
18.546258,73.904337
26.921411,75.793604
11.008638,76.984311
12.972161,77.596014
13.049645,80.242268
17.430448,78.418213
19.874733,75.353942
13.045479,80.23311
26.956431,75.776649
13.022394,80.242439
22.75004,75.902847
21.173493,72.801953
13.091809,80.219104
18.533811,73.899315
15.496162,73.825364
26.913726,75.75282
30.895817,75.813112
19.120083,72.907385
27.161661,78.011544
13.066762,80.251865
30.362686,78.06889
17.410371,78.437225
9.979186,76.317361
18.539299,73.897902
22.310329,73.169083
11.022169,76.999594
19.875908,75.358888
10.006881,76.345397
12.326356,76.619103
19.875522,75.367127
22.552996,88.35231
30.895204,75.822103
25.450329,81.834279
18.546947,73.900626
30.340722,78.060221
22.651847,75.881991
25.45235,81.841889
17.424114,78.347554
12.323225,76.630028
26.905287,75.794592
17.422819,78.449578
17.45971,78.368855
22.695207,75.866059
18.569156,73.774723
11.003008,76.97544
26.914142,75.805704
30.359722,78.067079
12.334022,76.618203
23.214294,77.435361
12.970221,77.645396
22.753659,75.903365
18.636215,73.751081
23.234249,77.434007
25.457116,81.859682
22.744648,75.894377
23.39925,85.390464
19.874103,75.368419
22.577821,88.400581
12.337978,76.616792
22.514119,88.362504
22.311844,73.165081
18.994049,72.825203
22.732225,75.874765
30.914057,75.83982
23.233219,77.433571
12.981615,80.231598
23.184992,77.417227
26.49095,80.318656
22.551084,88.354127
11.021278,76.995017
30.899992,75.831338
11.024839,77.007003
23.351058,85.325731
19.876219,75.346017
19.880256,75.323503
30.893234,75.82172
30.319528,78.040267
27.195928,77.998092
25.450317,81.831681
21.185047,72.80859
23.355164,85.324097
23.232537,77.429845
18.53408,73.89852
26.902908,75.792934
11.016298,76.972076
10.000706,76.349516
25.454697,81.834492
21.186608,72.794136
26.90294,75.793007
23.353783,85.326967
23.214459,77.434976
23.374989,85.335486
30.893244,75.821817
30.885915,75.788259
17.438263,78.397865
15.544419,73.755736
22.751234,75.88949
26.474986,80.342796
9.970717,76.285447
30.873988,75.842739
19.888716,75.321461
13.054347,80.257221
22.547186,88.35068
18.536718,73.830327
23.232357,77.429989
19.1093,72.825451
22.32,73.17
26.469003,80.316344
26.483672,80.320708
10.027364,76.308258
15.546594,73.760431
19.207222,72.972281
19.874449,75.360232
12.323994,76.626167
11.02091,76.940432
19.22384,72.841347
30.366322,78.070453
30.361281,78.068022
26.473698,80.352677
18.554382,73.798206
22.553227,88.353273
30.332735,78.054222
9.982834,76.283268
15.498603,73.826911
22.5491,88.400467
25.450377,81.834236
26.471529,80.313458
23.218998,77.373573
23.235123,77.398886
22.533662,88.366217
30.885814,75.786976
15.574828,73.766883
25.459775,81.834841
30.893081,75.821495
22.514688,88.393294
23.266261,77.379605
23.333017,85.3172
27.157772,78.04725
15.516833,73.768172
13.027018,80.254791
22.527893,88.368628
15.157944,73.950889
27.16185,78.040165
30.88722,75.804893
27.158822,78.045359
23.230791,77.43702
23.264015,77.408236
27.161694,78.034714
9.991703,76.293136
27.201725,78.007553
9.960846,76.293936
23.234631,77.401663
26.481547,80.299775
15.303897,73.914336
9.988483,76.295211
25.454648,81.834502
30.342509,78.061187
22.53796,88.349843
9.959778,76.296106
30.346994,78.062543
15.49395,73.827423
11.001852,76.976268
30.893384,75.821202
15.576683,73.75575
19.875337,75.316722
15.556561,73.763633
15.56155,73.749092
26.47775,80.351569
30.902872,75.826808
30.335259,78.053162
9.985497,76.276999
25.451517,81.832616
26.472001,80.354002
23.211529,77.419399
30.892978,75.821847
15.506205,73.766668
19.878028,75.317475
22.538999,88.322337
9.957144,76.296783
22.515082,88.36783
25.451646,81.832796
9.979363,76.285001
10.028047,76.310019
26.474133,80.3481
9.985697,76.281128
19.876994,75.372353
27.159795,78.04299
22.514585,88.39331
25.449872,81.836167
25.453436,81.833167
9.966783,76.242981
26.47,80.35
